loading app allocation_app.py
loading app ryu.app.ofctl_rest
loading app ryu.controller.ofp_handler
instantiating app None of DPSet
creating context dpset
creating context wsgi
instantiating app allocation_app.py of SimpleMonitor13
instantiating app ryu.app.ofctl_rest of RestStatsApi
instantiating app ryu.controller.ofp_handler of OFPHandler
(18533) wsgi starting up on http://0.0.0.0:8080
(18533) accepted ('127.0.0.1', 47034)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/meterentry/add HTTP/1.1" 200 139 0.000677
(18533) accepted ('127.0.0.1', 47048)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/meterentry/add HTTP/1.1" 200 139 0.000637
(18533) accepted ('127.0.0.1', 47064)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/meterentry/add HTTP/1.1" 200 139 0.000483
(18533) accepted ('127.0.0.1', 47078)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/flowentry/add HTTP/1.1" 200 139 0.000710
(18533) accepted ('127.0.0.1', 47094)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/flowentry/add HTTP/1.1" 200 139 0.000944
(18533) accepted ('127.0.0.1', 47108)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/flowentry/add HTTP/1.1" 200 139 0.000909
(18533) accepted ('127.0.0.1', 47118)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/flowentry/add HTTP/1.1" 200 139 0.001021
(18533) accepted ('127.0.0.1', 47120)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/flowentry/add HTTP/1.1" 200 139 0.001561
(18533) accepted ('127.0.0.1', 47132)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/flowentry/add HTTP/1.1" 200 139 0.000744
(18533) accepted ('127.0.0.1', 47134)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/flowentry/add HTTP/1.1" 200 139 0.000941
(18533) accepted ('127.0.0.1', 47136)
127.0.0.1 - - [16/Jun/2025 03:18:33] "POST /stats/flowentry/add HTTP/1.1" 200 139 0.000811
>>> t=3.00 s; Pushed new meters: {1: 46292.70504258492, 2: 36209.20280376132, 3: 13899.449002550156, 4: 3598.6431511036044}
>>> t=4.00 s; Pushed new meters: {1: 45934.88959091734, 2: 36206.176265318405, 3: 14289.171723865236, 4: 3569.7624198990243}
>>> t=5.00 s; Pushed new meters: {1: 45500.212280560605, 2: 36807.69882832206, 3: 14201.804184788702, 4: 3490.2847063286313}
>>> t=6.00 s; Pushed new meters: {1: 45500.212280560605, 2: 36807.69882832206, 3: 14201.804184788702, 4: 3490.2847063286313}
>>> t=7.00 s; Pushed new meters: {1: 45500.212280560605, 2: 36807.69882832206, 3: 14201.804184788702, 4: 3490.2847063286313}
>>> t=8.00 s; Pushed new meters: {1: 45500.212280560605, 2: 36807.69882832206, 3: 14201.804184788702, 4: 3490.2847063286313}
>>> t=9.00 s; Pushed new meters: {1: 45631.62844156264, 2: 36746.71327436601, 3: 14150.610709045257, 4: 3471.0475750260894}
>>> t=10.00 s; Pushed new meters: {1: 45631.62844156264, 2: 36746.71327436601, 3: 14150.610709045257, 4: 3471.0475750260894}
>>> t=11.00 s; Pushed new meters: {1: 45631.62844156264, 2: 36746.71327436601, 3: 14150.610709045257, 4: 3471.0475750260894}
>>> t=12.00 s; Pushed new meters: {1: 45631.62844156264, 2: 36746.71327436601, 3: 14150.610709045257, 4: 3471.0475750260894}
>>> t=13.00 s; Pushed new meters: {1: 45954.14177995309, 2: 36639.74022602014, 3: 14028.122548029749, 4: 3377.9954459970227}
>>> t=14.00 s; Pushed new meters: {1: 45954.14177995309, 2: 36639.74022602014, 3: 14028.122548029749, 4: 3377.9954459970227}
>>> t=15.00 s; Pushed new meters: {1: 45934.05194072541, 2: 36611.85835954265, 3: 14020.589699731958, 4: 3433.4999999999845}
>>> t=16.00 s; Pushed new meters: {1: 45934.05194072541, 2: 36611.85835954265, 3: 14020.589699731958, 4: 3433.4999999999845}
>>> t=17.00 s; Pushed new meters: {1: 45934.05194072541, 2: 36611.85835954265, 3: 14020.589699731958, 4: 3433.4999999999845}
>>> t=18.00 s; Pushed new meters: {1: 45934.05194072541, 2: 36611.85835954265, 3: 14020.589699731958, 4: 3433.4999999999845}
>>> t=19.00 s; Pushed new meters: {1: 46088.437499999716, 2: 36527.99809957313, 3: 13977.19081455468, 4: 3406.373585872478}
